iter	RMSE
0	7.513352155
1	7.132928866
2	6.815921632
3	6.493148458
4	6.183771174
5	5.896034206
6	5.639898432
7	5.385248003
8	5.138155464
9	4.922775297
10	4.729900397
11	4.528217577
12	4.342546874
13	4.168544725
14	4.002013847
15	3.848432643
16	3.70171502
17	3.566075139
18	3.438386306
19	3.325330404
20	3.211330023
21	3.106858697
22	3.025115734
23	2.934956491
24	2.85029241
25	2.776699583
26	2.706184075
27	2.641738027
28	2.579320494
29	2.523332831
30	2.467836656
31	2.424514547
32	2.378499642
33	2.336334708
34	2.296147226
35	2.260939981
36	2.227309709
37	2.196531315
38	2.168405916
39	2.143067399
40	2.119309848
41	2.09585985
42	2.07457869
43	2.056847507
44	2.040650193
45	2.025251901
46	2.009519492
47	1.997309341
48	1.982699807
49	1.971328098
50	1.960925584
51	1.949617733
52	1.939903343
53	1.931977115
54	1.924265075
55	1.916873745
56	1.910685639
57	1.904537912
58	1.897165049
59	1.892548119
60	1.888283496
61	1.883359549
62	1.87887757
63	1.87480525
64	1.871883398
65	1.868389736
66	1.865358373
67	1.862380963
68	1.861023634
69	1.858174723
70	1.855201766
71	1.85311403
72	1.850648801
73	1.849138947
74	1.84773348
75	1.846542418
76	1.844959564
77	1.844786537
78	1.843189692
79	1.841981097
80	1.840416172
81	1.840253143
82	1.838665252
83	1.838570945
84	1.837472936
85	1.83732278
86	1.836771994
87	1.835551172
88	1.835376953
89	1.835225959
90	1.835126938
91	1.834547592
92	1.833189333
93	1.833044277
94	1.832530981
95	1.831870716
96	1.830995788
97	1.829737968
98	1.829625317
99	1.829506453
100	1.828659149
101	1.828339492
102	1.828223163
103	1.827420819
104	1.825998566
105	1.825938067
106	1.825781557
107	1.824793829
108	1.824705486
109	1.823540362
110	1.823428118
111	1.823234851
112	1.823071052
113	1.822973339
114	1.822812399
115	1.822701054
116	1.82256402
117	1.822465
118	1.822368633
119	1.822259803
120	1.82209918
121	1.821936156
122	1.821801968
123	1.821695667
124	1.821568152
125	1.821417654
126	1.820988302
127	1.820878287
128	1.820697651
129	1.820545381
130	1.820389804
131	1.820269051
132	1.819909045
133	1.819822701
134	1.819673751
135	1.819521131
136	1.819411876
137	1.819269195
138	1.819140458
139	1.818981682
140	1.81884193
141	1.818679893
142	1.817457435
143	1.817335037
144	1.817209982
145	1.817038175
146	1.816884826
147	1.816396903
148	1.814818262
149	1.814666179
150	1.81450694
151	1.814360322
152	1.814224779
153	1.814052616
154	1.813879414
155	1.813710049
156	1.813535849
157	1.813344282
158	1.813153794
159	1.812981273
160	1.812809505
161	1.812638788
162	1.8121711
163	1.811991619
164	1.811797625
165	1.81160507
166	1.810347725
167	1.810179771
168	1.80999834
169	1.809822025
170	1.808861113
171	1.808678864
172	1.807452341
173	1.80727143
174	1.807095573
175	1.806909525
176	1.806730955
177	1.806552269
178	1.80636897
179	1.806191829
180	1.806011165
181	1.805235761
182	1.80505389
183	1.804883289
184	1.80470698
185	1.804531602
186	1.804361546
187	1.803261172
188	1.803090016
189	1.802014938
190	1.801844959
191	1.800859442
192	1.80068801
193	1.800517416
194	1.800351495
195	1.800181376
196	1.800016015
197	1.79984964
198	1.799683362
199	1.799517384
200	1.799356927
201	1.799195412
202	1.798386014
203	1.798224319
204	1.79806402
205	1.797532353
206	1.797372646
207	1.79721266
208	1.796403675
209	1.796244348
210	1.796087251
211	1.79593234
212	1.795777602
213	1.79562107
214	1.795465021
215	1.795310457
216	1.79424518
217	1.79409212
218	1.79343097
219	1.793278389
220	1.792579837
221	1.792427881
222	1.792275058
223	1.792124232
224	1.791973691
225	1.791823826
226	1.791674156
227	1.791510671
228	1.79136235
229	1.791214755
230	1.791067508
231	1.79092077
232	1.790774046
233	1.790628803
234	1.790469756
235	1.790324767
236	1.789761547
237	1.789617258
238	1.789473292
239	1.789329362
240	1.78879236
241	1.788648715
242	1.788505616
243	1.788363167
244	1.788221044
245	1.788079087
246	1.78793794
247	1.7877977
248	1.787657039
249	1.787517154
250	1.787377439
251	1.787237502
252	1.787097953
253	1.786958787
254	1.786820008
255	1.786668466
256	1.786530703
257	1.786393315
258	1.786256408
259	1.786119575
260	1.785983172
261	1.785835176
262	1.785699264
263	1.785563566
264	1.785428182
265	1.785293077
266	1.785158285
267	1.785023871
268	1.784889763
269	1.784755999
270	1.784622533
271	1.784489497
272	1.784356513
273	1.784224226
274	1.784091898
275	1.783959799
276	1.783827905
277	1.783696163
278	1.78356502
279	1.783433879
280	1.78330294
281	1.783172393
282	1.783042106
283	1.782912189
284	1.782782348
285	1.782652856
286	1.782523599
287	1.782394733
288	1.782265993
289	1.782137462
290	1.782009127
291	1.781881
292	1.781753034
293	1.781625428
294	1.781498113
295	1.781370865
296	1.781243936
297	1.781117344
298	1.780990636
299	1.780864654
300	1.780738425
301	1.78056893
302	1.780443107
303	1.78031751
304	1.780192103
305	1.780066984
306	1.77994205
307	1.779175188
308	1.778492477
309	1.778368011
310	1.77824684
311	1.778122262
312	1.777998461
313	1.777874194
314	1.777750199
315	1.777626386
316	1.777502779
317	1.777379541
318	1.776690615
319	1.776567333
320	1.776444499
321	1.776321789
322	1.776199417
323	1.77607701
324	1.775955044
325	1.775833325
326	1.775711477
327	1.775589872
328	1.775468446
329	1.774612641
330	1.77449099
331	1.77436971
332	1.774248599
333	1.774127664
334	1.774007086
335	1.773846658
336	1.773726504
337	1.773606547
338	1.773486506
339	1.773366652
340	1.773246796
341	1.773127169
342	1.773007723
343	1.772888532
344	1.772769466
345	1.772650317
346	1.772531524
347	1.772415852
348	1.772297376
349	1.772179078
350	1.772060942
351	1.771942961
352	1.771825498
353	1.771708086
354	1.771590345
355	1.771472767
356	1.770794757
357	1.770677435
358	1.770560518
359	1.770443789
360	1.77032696
361	1.770210239
362	1.770093814
363	1.769977471
364	1.769861371
365	1.769748621
366	1.769632731
367	1.769517041
368	1.768891679
369	1.768776075
370	1.768660244
371	1.76854491
372	1.768429738
373	1.768314641
374	1.768199649
375	1.768084968
376	1.76797026
377	1.767855992
378	1.767741747
379	1.767627575
380	1.767513341
381	1.767399688
382	1.76728607
383	1.767172596
384	1.767058865
385	1.766897874
386	1.766784541
387	1.766671299
388	1.766561517
389	1.766448543
390	1.766335487
391	1.766222963
392	1.766110075
393	1.765997368
394	1.76588487
395	1.765772621
396	1.765660733
397	1.765549225
398	1.765437262
399	1.765325452
400	1.765213788
401	1.765102288
402	1.764990919
403	1.764336083
404	1.764224849
405	1.764113646
406	1.764002915
407	1.763892121
408	1.76378156
409	1.763674609
410	1.763564223
411	1.763454014
412	1.76334378
413	1.763233456
414	1.763123244
415	1.763013142
416	1.762903186
417	1.762793527
418	1.762684189
419	1.762574539
420	1.762465073
421	1.762356017
422	1.762247058
423	1.762138237
424	1.762029504
425	1.761920945
426	1.761388569
427	1.761280005
428	1.761171748
429	1.761063271
430	1.760955198
431	1.760847748
432	1.760073399
433	1.759965115
434	1.759857239
435	1.759749468
436	1.759641686
437	1.759487993
438	1.759380306
439	1.7592727
440	1.759165467
441	1.758634981
442	1.758527811
443	1.758420555
444	1.758313504
445	1.758206754
446	1.758099957
447	1.757993067
448	1.757886458
449	1.757779926
450	1.757673813
451	1.756972066
452	1.756865447
453	1.756759504
454	1.756653114
455	1.756547096
456	1.756441252
457	1.756335896
458	1.75623035
459	1.756124705
460	1.756019882
461	1.755227529
462	1.755122106
463	1.755016621
464	1.754911315
465	1.754806113
466	1.754701275
467	1.754596397
468	1.754491829
469	1.754387328
470	1.75428287
471	1.754178428
472	1.754074227
473	1.753969998
474	1.753865712
475	1.753761761
476	1.753657945
477	1.753554005
478	1.753450152
479	1.753346602
480	1.75324299
481	1.753139592
482	1.753036172
483	1.752936789
484	1.75283369
485	1.752730624
486	1.752627786
487	1.752525036
488	1.752422436
489	1.752319884
490	1.752217453
491	1.752115099
492	1.752012987
493	1.75191071
494	1.751808874
495	1.751706744
496	1.751604954
497	1.751507844
498	1.751406109
499	1.751304409
500	1.751202953
501	1.751101633
502	1.751000184
503	1.750898937
504	1.750797629
505	1.750645004
506	1.750543877
507	1.750442806
508	1.75034187
509	1.750241009
510	1.750140239
511	1.750039617
512	1.749938927
513	1.74983842
514	1.749738049
515	1.749637695
516	1.749537334
517	1.749437342
518	1.74933731
519	1.749237562
520	1.749137766
521	1.74903813
522	1.748938579
523	1.748839304
524	1.748739705
525	1.748640212
526	1.748540819
527	1.748441539
528	1.747732692
529	1.747633468
530	1.747534319
531	1.747435333
532	1.747336448
533	1.747237714
534	1.747139087
535	1.747040533
536	1.746942097
537	1.746843547
538	1.746744918
539	1.746646707
540	1.746548365
541	1.74645023
542	1.746352292
543	1.746257954
544	1.746160082
545	1.746062158
546	1.745964126
547	1.745866408
548	1.745768955
549	1.745673798
550	1.745576172
551	1.745478644
552	1.745381485
553	1.745284548
554	1.74518773
555	1.74509094
556	1.74499423
557	1.744897185
558	1.744800225
559	1.744703355
560	1.744606555
561	1.744510011
562	1.744413392
563	1.744317034
564	1.744171059
565	1.743694775
566	1.743598672
567	1.74350271
568	1.743406405
569	1.743310196
570	1.743214066
571	1.743118
572	1.743021973
573	1.742926003
574	1.74283011
575	1.742734316
576	1.742638589
577	1.74254296
578	1.742447437
579	1.742352028
580	1.742256666
581	1.742161407
582	1.742066235
583	1.741971132
584	1.741876133
585	1.741781318
586	1.741262374
587	1.741167235
588	1.741072339
589	1.740977413
590	1.740882619
591	1.740788006
592	1.740693673
